City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,mahina,-17.558,-149.4694,23.55,69,40,2.06,PF,2024-05-03 04:52:09
260,vilyuchinsk,52.9318,158.4054,7.17,77,61,2.27,RU,2024-05-03 04:52:09
261,molde,62.6016,8.1386,5.0,71,30,3.7,NO,2024-05-03 04:52:10
262,santiago de cao,-7.9605,-79.238,19.1,88,75,4.63,PE,2024-05-03 04:52:11
263,keflavik,63.9998,-22.5565,5.95,93,100,0.51,IS,2024-05-03 04:52:12
264,wenceslau braz,-22.5342,-45.3615,17.67,83,0,0.61,BR,2024-05-03 04:52:12
265,toliara,-23.3542,43.6697,21.91,77,0,5.93,MG,2024-05-03 04:52:13
266,beneditinos,-5.4566,-42.3605,23.66,91,85,0.85,BR,2024-05-03 04:52:14
267,newman,37.3139,-121.0204,22.13,62,0,1.79,US,2024-05-03 04:52:15
268,neusiedl am see,47.9177,16.8291,15.97,98,99,2.28,AT,2024-05-03 04:52:16
269,abilene,32.4465,-99.7476,22.06,85,0,7.72,US,2024-05-03 04:52:17
270,nar'yan-mar,67.638,53.0071,-4.39,94,100,4.47,RU,2024-05-03 04:52:18
271,tabou,4.4194,-7.3604,26.47,85,100,0.95,CI,2024-05-03 04:52:18
272,borlange,60.4856,15.4235,6.47,93,15,1.03,SE,2024-05-03 04:52:19
273,oranjemund,-28.5519,16.4284,15.0,83,0,2.45,NA,2024-05-03 04:52:20
274,ahau,-12.501,177.0479,29.4,78,28,5.57,FJ,2024-05-03 04:52:21
275,puerto san carlos,-12.6608,-63.55,26.07,79,100,0.92,BR,2024-05-03 04:52:21
276,boende,-0.2837,20.8826,22.13,96,100,1.19,CD,2024-05-03 04:52:22
277,esmeralda,-28.0544,-51.1922,14.74,98,100,1.71,BR,2024-05-03 04:52:23
278,kone,-21.0608,164.8619,24.89,55,73,4.33,NC,2024-05-03 04:52:24
279,agios stefanos,38.141,23.8576,18.22,76,0,0.89,GR,2024-05-03 04:52:24
280,lihue,21.977,-159.3688,27.66,77,40,7.72,US,2024-05-03 04:52:25
281,castillos,-34.2003,-53.8608,8.09,82,1,2.61,UY,2024-05-03 04:52:26
282,chokwe,-16.4548,35.013,18.5,88,54,1.37,MW,2024-05-03 04:52:27
283,usinsk,65.9957,57.5571,-8.34,90,100,4.02,RU,2024-05-03 04:52:28
284,boguchany,58.3828,97.4616,8.24,69,98,5.36,RU,2024-05-03 04:52:29
285,balabac,7.9865,117.0647,31.4,61,69,4.65,PH,2024-05-03 04:52:29
286,juneau,58.3019,-134.4197,13.0,78,75,3.09,US,2024-05-03 04:52:30
287,mount gambier,-37.8247,140.782,18.32,45,1,2.79,AU,2024-05-03 04:52:31
288,mahibadhoo,3.7572,72.9689,29.46,76,70,3.16,MV,2024-05-03 04:52:32
289,kegen,43.0217,79.2232,13.4,39,82,1.36,KZ,2024-05-03 04:52:32
290,kasempa,-13.4583,25.8315,13.49,64,74,2.37,ZM,2024-05-03 04:52:33
291,inderbor,48.561,51.7479,14.79,39,49,2.21,KZ,2024-05-03 04:52:34
292,necochea,-38.5545,-58.7393,6.59,79,2,5.41,AR,2024-05-03 04:52:34
293,moree,47.9016,1.2378,6.14,97,96,3.57,FR,2024-05-03 04:52:35
294,ar rass,25.8685,43.5039,27.69,20,29,5.27,SA,2024-05-03 04:52:36
295,labytnangi,66.6615,66.3811,-10.54,80,100,2.34,RU,2024-05-03 04:52:37
